N,P,K,temperature,humidity,ph,rainfall,label
19,15,5,21.552669,92.374999,6.529817,104.698584,orange
42,71,76,18.747716,18.160124,6.991693,76.597145,chickpea
113,10,50,25.418362,86.392469,6.442776,44.738084,watermelon
81,77,46,28.765711,79.930691,6.257127,109.774666,banana
29,122,196,22.533605,92.980497,6.212632,116.373193,apple
29,63,79,18.468885,17.471094,7.554612,73.903705,chickpea
107,28,28,24.060141,62.567157,6.164341,178.090694,coffee
26,57,18,23.908412,57.876632,6.234531,162.397581,pigeonpeas
35,27,8,15.897928,92.573169,7.171018,103.718034,orange
13,131,201,22.305368,91.970775,6.055645,119.370694,apple
15,27,34,26.827454,96.411137,5.949882,223.242778,coconut
52,67,46,30.263,92.186226,6.363742,143.455565,papaya
105,15,54,25.845019,87.153016,6.558719,45.242579,watermelon
23,41,19,28.176064,51.586758,7.413058,61.537581,mothbeans
32,64,54,30.086714,92.899181,6.637583,74.681234,papaya
28,79,85,18.909315,17.296494,6.865496,87.193641,chickpea
21,7,40,20.726771,91.427051,6.032721,109.368534,pomegranate
51,68,85,18.494387,16.880751,7.254797,84.552484,chickpea
43,46,52,36.271625,92.17849,6.66214,135.94981,papaya
35,62,16,25.549208,65.928152,6.531275,68.977373,lentil
7,122,203,23.005263,93.785779,5.857083,114.328198,apple
20,9,38,22.100246,90.062945,6.371667,109.336789,pomegranate
55,59,82,20.168579,15.97402,6.689729,81.871437,chickpea
3,16,31,29.684473,53.969365,5.557892,88.740582,mango
41,80,85,19.400943,16.264717,7.061656,78.895526,chickpea
19,10,39,20.538183,90.402161,5.902492,102.569523,pomegranate
119,12,52,25.863366,86.242438,6.744364,48.901151,watermelon
36,73,18,20.386809,20.98779,5.622511,115.196252,kidneybeans
16,54,23,29.480957,86.910655,6.426396,64.583519,mungbean
103,17,49,28.282833,92.716554,6.57078,27.844415,muskmelon
88,12,46,25.404259,84.891399,6.336164,40.661687,watermelon
48,64,22,19.55922,20.816964,5.906286,145.026263,kidneybeans
82,19,46,29.35849,92.659079,6.11275,23.52431,muskmelon
13,27,32,31.071276,49.525249,6.1184,87.572074,mango
68,55,37,23.106404,82.695695,6.424115,251.476649,rice
33,67,18,29.498372,62.264795,6.49655,71.258412,blackgram
57,71,75,20.010053,15.983392,7.553549,85.201996,chickpea
114,77,54,25.492243,79.212362,6.021957,110.122416,banana
31,75,24,26.617595,62.711313,7.101222,73.668215,blackgram
24,72,21,21.826897,61.515225,5.220182,123.931511,pigeonpeas
63,54,50,30.764247,92.569883,6.482802,96.112372,papaya
39,71,23,28.304222,52.728135,6.271849,94.610674,pigeonpeas
37,39,19,28.544216,84.757043,6.329296,46.836863,mungbean
34,26,34,28.852455,94.426551,5.838238,197.67367,coconut
124,46,19,23.798947,79.717754,6.432055,73.175573,cotton
8,127,193,26.117767,82.255061,6.506187,67.212766,grapes
40,121,200,21.551572,92.935856,5.93241,122.521697,apple
30,69,18,25.315406,64.058823,6.314254,42.748768,lentil
88,77,50,28.161297,80.138227,5.827166,95.115912,banana
95,45,38,23.868632,81.679138,6.686714,162.120796,jute
34,136,200,21.842355,91.984652,6.163071,121.921465,apple
33,7,37,21.921652,87.785327,6.498062,105.038888,pomegranate
37,132,204,22.52671,93.118965,5.674594,121.022224,apple
22,55,22,27.55556,86.605897,6.499018,60.00344,mungbean
110,10,54,28.788036,92.757344,6.770721,23.19648,muskmelon
103,23,29,25.70685,58.565101,6.965006,186.964481,coffee
107,31,25,25.715846,58.367538,6.637576,184.945129,coffee
21,75,24,29.288085,60.434887,5.370591,142.315581,pigeonpeas
73,36,38,24.705771,77.875962,6.911031,175.11472,jute
33,67,21,15.703821,23.120719,5.697892,113.790145,kidneybeans
93,92,47,28.627511,79.567344,5.699372,102.731671,banana
84,50,22,22.633268,60.765823,6.55491,93.41064,maize
70,45,44,27.009368,80.10314,6.661016,187.34873,jute
73,39,15,21.018117,58.905767,5.916422,95.906154,maize
31,57,24,27.020839,51.472482,6.398963,118.087001,pigeonpeas
24,28,31,29.109813,47.519881,6.228506,69.879567,mango
26,79,19,20.986808,22.436594,5.846623,93.160403,kidneybeans
5,19,39,23.4677,89.045728,6.16341,105.159459,pomegranate
105,10,47,25.692404,85.282772,6.713592,45.437625,watermelon
53,71,18,27.289311,63.544216,6.603921,72.201113,blackgram
97,45,15,22.449287,63.019577,6.551815,79.941139,maize
91,52,43,24.143751,82.601449,6.262616,275.675444,rice
24,52,18,25.739628,49.505263,5.217238,56.726841,mothbeans
31,64,17,16.291445,20.530952,5.753061,93.400164,kidneybeans
9,40,33,30.479284,50.26294,4.450947,70.819819,mango
133,41,22,24.565243,81.325222,6.356395,85.74912,cotton
44,56,48,30.205656,93.045421,6.642207,84.147608,papaya
33,40,16,25.881568,51.134158,7.579063,48.000114,mothbeans
100,58,23,24.754048,84.105464,6.454358,78.956966,cotton
22,39,16,28.288299,80.589142,6.227382,58.175463,mungbean
10,15,14,21.331882,93.078434,7.171605,102.188608,orange
91,45,36,24.845189,84.003603,7.262871,161.812348,jute
51,61,18,26.358999,65.883432,6.81871,74.374812,blackgram
32,38,23,28.104946,84.350523,6.488848,46.040032,mungbean
87,23,29,25.929295,60.308995,6.767197,177.718202,coffee
82,76,52,26.735393,78.025287,5.875819,97.496024,banana
21,76,23,27.638232,59.860999,6.023271,157.407542,pigeonpeas
50,54,53,27.029624,93.062688,6.632939,120.11146,papaya
31,145,196,22.180856,92.968747,6.034072,115.217219,apple
28,13,36,19.258833,92.057328,6.474261,102.825409,pomegranate
89,50,19,21.254182,59.568465,6.333553,91.192966,maize
7,34,35,31.043845,49.92521,7.080211,93.287381,mango
23,23,34,26.890409,93.928635,6.104552,185.049247,coconut
5,140,199,22.092915,92.435705,6.073938,117.374132,apple
20,68,15,22.30671,65.717302,6.282591,70.297576,lentil
91,43,37,24.443193,78.819402,7.187488,187.585852,jute
10,48,21,29.859888,61.136955,7.27167,47.849103,mothbeans
15,63,23,24.724391,63.898951,6.256429,45.508005,lentil
4,6,27,28.322956,95.180284,6.082773,183.814343,coconut
57,59,25,31.204547,63.332675,6.730273,73.425382,blackgram
90,45,37,24.969843,79.827107,6.916992,171.011632,jute
8,59,21,28.782106,86.441237,6.915003,51.117819,mungbean
109,47,20,24.986825,81.098347,6.529068,99.878278,cotton
101,19,47,25.176869,84.012018,6.600902,45.251024,watermelon
10,132,198,22.896677,92.137006,6.074247,120.764583,apple
18,131,195,25.474902,83.101521,6.026115,74.784945,grapes
5,19,27,26.547314,97.549607,5.937873,219.452124,coconut
28,144,201,18.084731,83.09827,5.988889,70.267689,grapes
107,11,53,25.117133,87.726982,6.286435,49.378272,watermelon
74,48,40,22.684676,82.104329,6.390117,217.406648,rice
4,18,32,29.451023,48.763061,5.122319,86.953283,mango
33,30,31,31.619004,50.057462,5.385702,72.953698,mango
81,19,29,25.820751,61.634375,6.840321,188.507976,coffee
13,9,41,20.797654,87.061848,6.167382,102.472061,pomegranate
106,93,51,26.229497,79.529692,5.903701,101.795113,banana
1,122,194,20.214504,83.482985,6.106129,68.975919,grapes
64,42,45,24.916791,81.690185,6.485968,187.774953,jute
24,11,14,22.241195,92.934874,6.667609,109.250699,orange
117,47,17,23.310223,80.73747,6.023386,104.837568,cotton
34,25,26,31.536621,46.75718,5.271806,67.643797,mango
60,66,53,33.629475,92.670416,6.406885,183.790889,papaya
96,9,53,28.283845,92.368927,6.32499,29.289467,muskmelon
22,52,25,26.704304,43.705415,5.855334,36.354163,mothbeans
76,48,43,25.513599,74.699994,6.71001,195.299395,jute
43,57,76,19.267061,17.521099,6.826694,87.827849,chickpea
0,57,21,27.895968,52.118255,6.199543,67.558737,mothbeans
3,18,37,20.75218,91.635946,6.399877,100.378201,pomegranate
102,7,52,25.52882,82.016474,6.6785,48.42166,watermelon
33,52,19,26.903548,58.891115,5.797348,62.639899,mothbeans
129,45,16,24.721495,81.181697,6.906372,84.556927,cotton
38,46,49,33.172327,93.28475,6.485423,148.651056,papaya
102,15,54,27.222465,85.978977,6.361039,48.518368,watermelon
27,55,21,28.626726,58.754273,7.102406,36.24878,mothbeans
75,38,39,22.930218,81.654534,6.043853,201.747968,rice
17,17,27,28.621241,95.986611,6.030243,215.942259,coconut
12,39,22,25.614224,50.07009,8.416745,44.82992,mothbeans
16,52,19,28.701557,52.068002,6.26167,54.841581,mothbeans
72,58,17,21.67594,58.95114,5.992238,81.409981,maize
67,42,44,24.279107,81.994512,6.001559,245.226343,rice
71,58,17,19.953852,60.731569,5.95195,73.740302,maize
29,7,33,27.582216,92.468245,6.283538,181.420717,coconut
40,6,7,21.156031,91.809085,7.365796,110.182274,orange
16,9,38,18.883594,89.793541,6.269372,103.419345,pomegranate
32,58,25,19.087702,19.737088,5.720071,61.359962,kidneybeans
85,6,49,24.977138,86.291811,6.389613,42.554283,watermelon
7,48,24,29.158229,86.767183,6.374218,51.085978,mungbean
59,59,16,31.045246,64.317789,6.788708,65.180811,blackgram
73,53,36,22.919902,82.914852,6.634785,244.015331,rice
68,35,43,24.218202,82.53962,6.396372,278.550877,rice
118,55,20,24.612958,80.916449,6.324109,78.218415,cotton
127,46,15,23.685365,80.492967,5.720665,65.096595,cotton
28,77,18,30.40789,46.995414,6.211948,163.820247,pigeonpeas
32,28,6,22.139836,91.746215,7.650791,110.091539,orange
55,63,23,29.97215,66.21194,6.913178,68.733532,blackgram
38,56,23,26.195135,67.285681,6.600781,67.439015,lentil
105,82,47,27.391831,75.515642,6.317411,107.811173,banana
24,25,26,30.914369,49.825026,5.298245,88.643568,mango
91,37,24,21.871986,62.910633,6.289109,100.959443,maize
24,123,195,22.451923,92.178948,6.047484,114.35405,apple
5,9,40,20.79421,90.211095,6.179037,100.007169,pomegranate
40,23,26,30.252061,49.198822,5.662905,77.539086,mango
127,36,20,23.569164,80.031855,6.164489,79.501914,cotton
30,37,18,28.509189,87.265299,6.325888,51.508226,mungbean
32,78,22,26.61408,45.200596,6.262112,193.238276,pigeonpeas
25,55,76,18.306967,16.569379,7.243578,93.832663,chickpea
26,136,199,22.877464,90.768226,6.03798,108.433238,apple
113,40,34,25.597112,52.114868,6.490764,174.218408,coffee
22,64,17,27.393224,44.401042,5.900402,108.502402,pigeonpeas
71,40,39,24.55963,81.034395,6.829741,162.930939,jute
